date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:40:51	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Apr%202025%2000:40:43%20GMT	http://www.thebluealliance.com/gameday	C:/My%20Web%20Sites/BAGameday/www.thebluealliance.com/gameday.0.delayed	(from )
17:40:52	5114/5114	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Apr%202025%2000:40:44%20GMT	https://www.thebluealliance.com/gameday	C:/My%20Web%20Sites/BAGameday/www.thebluealliance.com/gameday.html	(from )
17:40:53	139/139	---MCZ	200	added ('OK')	text/plain	etag:%22DRzNQg%22	https://www.thebluealliance.com/robots.txt		(from )
17:40:53	7009/7009	---MC-	200	added ('OK')	image/png	etag:%22mgco6g%22	https://www.thebluealliance.com/icons/apple-touch-icon.png	C:/My%20Web%20Sites/BAGameday/www.thebluealliance.com/icons/apple-touch-icon.png	(from https://www.thebluealliance.com/gameday)
17:40:53	2362/2362	---MC-	200	added ('OK')	image/png	etag:%22mgco6g%22	https://www.thebluealliance.com/icons/favicon-32x32.png	C:/My%20Web%20Sites/BAGameday/www.thebluealliance.com/icons/favicon-32x32.png	(from https://www.thebluealliance.com/gameday)
17:40:53	1399/1399	---MC-	200	added ('OK')	image/png	etag:%22QMJNCg%22	https://www.thebluealliance.com/icons/favicon-16x16.png	C:/My%20Web%20Sites/BAGameday/www.thebluealliance.com/icons/favicon-16x16.png	(from https://www.thebluealliance.com/gameday)
17:40:53	548/548	---MCZ	200	added ('OK')	application/json	date:Fri,%2018%20Apr%202025%2000:40:45%20GMT	https://www.thebluealliance.com/manifest.json	C:/My%20Web%20Sites/BAGameday/www.thebluealliance.com/manifest.json	(from https://www.thebluealliance.com/gameday)
17:40:53	1447/1447	---MCZ	200	added ('OK')	image/svg+xml	etag:%22mgco6g%22	https://www.thebluealliance.com/icons/safari-pinned-tab.svg	C:/My%20Web%20Sites/BAGameday/www.thebluealliance.com/icons/safari-pinned-tab.svg	(from https://www.thebluealliance.com/gameday)
17:40:54	15086/15086	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:%229GMyXg%22	https://www.thebluealliance.com/icons/favicon.ico	C:/My%20Web%20Sites/BAGameday/www.thebluealliance.com/icons/favicon.ico	(from https://www.thebluealliance.com/gameday)
17:40:54	252/252	---MCZ	200	added ('OK')	application/xml	etag:%22DRzNQg%22	https://www.thebluealliance.com/icons/browserconfig.xml	C:/My%20Web%20Sites/BAGameday/www.thebluealliance.com/icons/browserconfig.xml	(from https://www.thebluealliance.com/gameday)
17:40:56	44066/44066	---M-Z	200	added ('OK')	text/css	etag:%220731897be52a12562dd003d26ae7d5e6%22	https://vjs.zencdn.net/5.8.8/video-js.css	C:/My%20Web%20Sites/BAGameday/vjs.zencdn.net/5.8.8/video-js.css	(from https://www.thebluealliance.com/gameday)
17:40:56	6437/6437	---M-Z	200	added ('OK')	text/css	etag:%225eb03d8e-1925%22	http://cdnjs.cloudflare.com/ajax/libs/bootstrap-select/1.12.1/css/bootstrap-select.min.css	C:/My%20Web%20Sites/BAGameday/cdnjs.cloudflare.com/ajax/libs/bootstrap-select/1.12.1/css/bootstrap-select.min.css	(from https://www.thebluealliance.com/gameday)
17:40:56	23777/23777	---M-Z	200	added ('OK')	text/css	etag:%225eb04027-5ce1%22	http://cdnjs.cloudflare.com/ajax/libs/vis/4.19.1/vis.min.css	C:/My%20Web%20Sites/BAGameday/cdnjs.cloudflare.com/ajax/libs/vis/4.19.1/vis.min.css	(from https://www.thebluealliance.com/gameday)
17:40:56	595747/595747	---MC-	200	added ('OK')	image/jpeg	etag:%22DRzNQg%22	https://www.thebluealliance.com/images/gameday_image.jpg	C:/My%20Web%20Sites/BAGameday/www.thebluealliance.com/images/gameday_image.jpg	(from https://www.thebluealliance.com/gameday)
17:40:58	253/253	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Apr%202025%2000:40:48%20GMT	http://gstatic.com/firebasejs/8.10.0/firebase-app.js	C:/My%20Web%20Sites/BAGameday/gstatic.com/firebasejs/8.10.0/firebase-app.d.delayed	(from https://www.thebluealliance.com/gameday)
17:40:58	22121/22121	---M--	200	added ('OK')	text/javascript	date:Thu,%2019%20Aug%202021%2020:25:44%20GMT	http://www.gstatic.com/firebasejs/8.10.0/firebase-app.js	C:/My%20Web%20Sites/BAGameday/www.gstatic.com/firebasejs/8.10.0/firebase-app.js	(from https://www.thebluealliance.com/gameday)
17:40:59	278715/278715	---M-Z	200	added ('OK')	application/javascript	etag:%225eb0401d-440bb%22	https://cdnjs.cloudflare.com/ajax/libs/video.js/5.10.2/video.min.js	C:/My%20Web%20Sites/BAGameday/cdnjs.cloudflare.com/ajax/libs/video.js/5.10.2/video.min.js	(from https://www.thebluealliance.com/gameday)
17:40:59	161424/161424	---M-Z	200	added ('OK')	application/javascript	etag:%225eb04020-27690%22	https://cdnjs.cloudflare.com/ajax/libs/videojs-contrib-hls/3.0.2/videojs-contrib-hls.min.js	C:/My%20Web%20Sites/BAGameday/cdnjs.cloudflare.com/ajax/libs/videojs-contrib-hls/3.0.2/videojs-contrib-hls.min.js	(from https://www.thebluealliance.com/gameday)
17:41:01	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2018%20Apr%202025%2000:40:51%20GMT	http://connect.facebook.net/en_US/all.js	C:/My%20Web%20Sites/BAGameday/connect.facebook.net/en_US/all.12.delayed	(from https://www.thebluealliance.com/gameday)
17:41:01	1344361/1344361	---MCZ	200	added ('OK')	text/javascript	etag:%22DRzNQg%22	https://www.thebluealliance.com/py3_javascript/gameday2.min.js	C:/My%20Web%20Sites/BAGameday/www.thebluealliance.com/py3_javascript/gameday2.min.js	(from https://www.thebluealliance.com/gameday)
17:41:01	3093/3093	---M-Z	200	added ('OK')	application/x-javascript	etag:%22b9088838e67153383bbba517d74aafd9%22	https://connect.facebook.net/en_US/all.js	C:/My%20Web%20Sites/BAGameday/connect.facebook.net/en_US/all.js	(from https://www.thebluealliance.com/gameday)
17:41:02	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/BAGameday/www.google-analytics.com/analytics.js	(from https://www.thebluealliance.com/gameday)
